price_id,medicine_id,package_id,amount,currency,price_basis,price_original,source_record_id,price_source,price_status,price_basis_verified,price_current_verified,price_comparison_eligible,savings_calculation_eligible
PRICE-af15bb6d64d10c6f14119c30,MED-39816ca8744154770cade6b5,,,,UNKNOWN,0,SRCR-46d04ec27d3691f5213ea4ec,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-af15f22bb3c84cc5de9f25eb,MED-6f5d959f97012103d27f630b,,8.00,BDT,UNKNOWN,8.00 Tk,SRCR-6ac014dc39e05edc439179ee,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af16c5e80bc480062c621147,MED-f3d0a40e5cf57c1f39ec7044,,,,UNKNOWN,0,SRCR-7e96f1db486dba501e0b772d,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-af174e4dba5cf2788f721c95,MED-4497224a76cc070edb621254,,75.00,BDT,UNKNOWN,75.00 Tk,SRCR-0ad70da36297aba3a58e7c34,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af1762fa740b38d85c22e4b3,MED-e9b912156d7ebe8cbf0f35ed,PKG-4fe3020a9e2b8ea73b379b54,4.02,BDT,UNIT,"Unit Price: ৳ 4.02,(30's pack: ৳ 120.60),",SRCM-d9612f5ccab9898d69e555c1,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af18d34f93caa9fd62d5ba83,MED-74d866de1ce51cdb82afdc39,PKG-1d6809c6d69935c14ca9b833,400.00,BDT,PACKAGE,"Unit Price: ৳ 4.00,(100's pack: ৳ 400.00),",SRCM-c1c2c76e91c3ea38e736c6d9,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af18ebface7fbb675b2b642e,MED-2e9b52fb13049763bec5404b,PKG-9beedf111e909ecf2c419566,15.00,BDT,UNIT,"Unit Price: ৳ 15.00,(10's pack: ৳ 150.00),",SRCM-ea63eba4f9320023737937e0,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af196a157fdf865d049f5445,MED-f0690c3caa744dc6ae0441ae,,12.00,BDT,UNKNOWN,12.00 Tk,SRCR-89811c612022ae5fe5dfaea5,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af19a0adca4f4827154e1deb,MED-ddeb4524eef05e027e74e183,PKG-dd247bb31c99a32764ab6248,3051.50,BDT,UNIT,"Unit Price: ৳ 3,051.50,(28's pack: ৳ 85,441.90),",SRCM-2b4655f0a358e904bf7d9fb8,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af1b51a4d0aed847d7ad51e8,MED-16c5f2eb4ad2199d3759e933,PKG-c0b67bb0d7efb6f812c42035,40.00,BDT,UNIT,"Unit Price: ৳ 40.00,(8's pack: ৳ 320.00),",SRCM-bbb9930e3fa4c17d19bdd5a3,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af1b6a13bd6a4bebe852225e,MED-976cde1ebde97d973d973c8b,PKG-d8d3674d14fe823ec30968aa,600.00,BDT,PACKAGE,"Unit Price: ৳ 30.00,(20's pack: ৳ 600.00),",SRCM-64cc33d91e5a75d3721dffe0,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af1c034935ca563a6655f24e,MED-afd3edef48b4d6cdc2427e8a,,35.00,BDT,UNKNOWN,35.00 Tk,SRCR-d6f3e5c4b87f65dd6035b4f3,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af1d8003522c036b38dd958b,MED-8c435d5a9f7d476dff15af87,,15.17,BDT,UNKNOWN,15.17 Tk,SRCR-9b700f1a4f159afb8a95e3c0,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af1e07678b0ff05fc7009d85,MED-0044054943b1e26ca10fc65c,,4.00,BDT,UNKNOWN,4.00 Tk,SRCR-5752b590bb046160de9d1ffb,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af2000470481512d2c19d351,MED-8d7d7fb21d33e988fd508a34,PKG-14e3ece7d100f4e1a15ea397,252.84,BDT,PACKAGE,"Unit Price: ৳ 6.02,(42's pack: ৳ 252.84),",SRCM-a52f0123edcdfa382d4c6bbd,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af20349621dc72699b807698,MED-64e91df75d806395a8311997,PKG-9ae73bc14203999db34b7dd4,1.00,BDT,UNIT,"Unit Price: ৳ 1.00,(100's pack: ৳ 100.00),",SRCM-df194ac13af5e266af2bf9a8,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
PRICE-af203dcc4546cd9d1ac01151,MED-782fa74e05ad6fcc0b7b79a0,PKG-8c8a35b4e76f76f08207ea71,4.00,BDT,UNIT,"Unit Price: ৳ 4.00,(50's pack: ৳ 200.00),,Unit Price: ৳ 4.00,(56's pack: ৳ 224.00),,Unit Price: ৳ 4.00,(100's pack: ৳ 400.00),",SRCM-c5fc676b5588fdb925a797ba,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af20b294dda17893adb0bb92,MED-94ac9de4ff41b3e2b78289de,,30.00,BDT,UNKNOWN,30.00 Tk,SRCR-a87d670f7778a48f0d0aea88,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af20daa18a8796845d515ce8,MED-87a2fbe42bca5a755ead8d2e,,,,UNKNOWN,0,SRCR-96739f70162e24701057c86d,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-af2316efb13bbac78a97ce66,MED-8775a2679089e3eb014fd4b7,,,,UNKNOWN,0,SRCR-fee547f9254fde36283d1503,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-af23ef881d9b295122dfe2f8,MED-a5422214b0231ab6818791fd,PKG-02f6aea0de5079c3bc86ec0b,270.00,BDT,PACKAGE,"Unit Price: ৳ 9.00,(30's pack: ৳ 270.00),",SRCM-90098513b1ba1c3b7756f10a,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af2451cca82e79a9a51ca94c,MED-326dd7580a1926eea626df99,PKG-57a0fb6ee0eb145349d52c5a,150.00,BDT,UNIT,"Unit Price: ৳ 150.00,(8's pack: ৳ 1,200.00),",SRCM-59b8b17c8410f30fc9ca1264,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
