source_record_id,medicine_id,source_name,source_row_number,outcome,reason_codes
SRCM-6e6f3af367e07a3779d066b6,MED-2efa6d87683102731a4dc1f3,MARKET,210,UNMATCHED_VALID,
SRCM-4253573743288d5125c2c9a4,MED-a9ff00d3c964ba7170e0951f,MARKET,212,UNMATCHED_VALID,
SRCM-b020e19dffe61e5d60dfbf06,MED-feb215edb9e651113918e8c5,MARKET,213,UNMATCHED_VALID,
SRCM-30dc779ee2fcd5317007c8ef,MED-a53bb47c013437dd3f222a2c,MARKET,214,UNMATCHED_VALID,
SRCM-1b0ed0da48a2bf5c398b7c19,MED-8e9963fc0441f3d5c5636ba6,MARKET,215,UNMATCHED_VALID,
SRCM-a0ca6ca1631eaffab744cb0e,MED-815540e3ed21d0767ddf349e,MARKET,216,UNMATCHED_VALID,
SRCM-22c3f33c7d5eed957a31d64e,MED-80c09ba6b4e9ed9ac5dd4803,MARKET,217,UNMATCHED_VALID,
SRCM-26f6aea09a620ffb1e16acaa,MED-070ef7b8c3c1ce46420d677a,MARKET,218,UNMATCHED_VALID,
SRCM-2477558315134189a6b79634,MED-144eb3a9dc9c981989b90052,MARKET,219,UNMATCHED_VALID,
SRCM-0a6979a60a48d5f35b887780,MED-fa851d5bafdd5c404c82c887,MARKET,220,UNMATCHED_VALID,
SRCM-549c0c110612c5801d00c178,MED-fd5d14b10d117d5f2fb6e986,MARKET,221,UNMATCHED_VALID,
SRCM-86b19f5505e634fcec8a7524,MED-025353f6bbe778273c5f41bb,MARKET,222,UNMATCHED_VALID,
SRCM-742d10b4ff43601f00627710,MED-3f38c54efb9e26e5eb9109a1,MARKET,223,UNMATCHED_VALID,
SRCM-99413d9b2e63ba8794f77410,MED-40693d9e442c911b06c58388,MARKET,224,UNMATCHED_VALID,
SRCM-8766dac703d65172a6d2c1ef,MED-f01f6470cfe9bc706c31c619,MARKET,226,UNMATCHED_VALID,
SRCM-eaf9140d559cf917a078930a,MED-1fb39719e0cb57fdcb29db1c,MARKET,227,UNMATCHED_VALID,
SRCM-bac24730889b42c38931943e,MED-dfaf37e3aa0778a55f844982,MARKET,228,UNMATCHED_VALID,
SRCM-c54e5efe75fb21aea7b18cb3,MED-cdc1bd77b3670e400e672cd0,MARKET,229,UNMATCHED_VALID,
SRCM-49cf1dfc5783a7c4e247c60e,MED-737c4f8056c1e5ec4dafd018,MARKET,230,UNMATCHED_VALID,
SRCM-7b968b64472bbc20dd884d90,MED-e027a9aeb044b78694e784af,MARKET,231,UNMATCHED_VALID,
SRCM-c49efb700100c03b05e5147d,MED-24354ad8842723b5f5ab2787,MARKET,232,UNMATCHED_VALID,
SRCM-a8da50efc2a3dcd6080e6d92,MED-18c4dc67c03c9c51e965f711,MARKET,233,UNMATCHED_VALID,
SRCM-8cdca239b6a8989c7a4b1644,MED-5e339d4a03f5add68c2ceb3d,MARKET,234,UNMATCHED_VALID,
SRCM-823d4d91cad306aa1b1a04a6,MED-b9bf43ddde8296c47e7c4c67,MARKET,235,UNMATCHED_VALID,
SRCM-3f960c659465e87990e7019a,MED-10416e8869133df971157dac,MARKET,236,UNMATCHED_VALID,
SRCM-20a6fa7f6fde063e867c8117,MED-29b961c07c24eec3bb98f9c2,MARKET,237,UNMATCHED_VALID,
SRCM-c99e3f43e43db07059fcf09e,MED-8c08e97c462551acf875864d,MARKET,238,UNMATCHED_VALID,
SRCM-8e65f3677f4d5b4eb2d372ba,MED-2071edc13c256b8facffb4a7,MARKET,239,UNMATCHED_VALID,
SRCM-bad0a8af5a2b20e39e9b4dea,MED-a6bc6e4198a961208f3c93a4,MARKET,240,UNMATCHED_VALID,
SRCM-73b09a749cfcf6f4f9b4735d,MED-c5f0a7e4007b2d6a8e2d95e8,MARKET,241,UNMATCHED_VALID,
SRCM-400554fdd543962200ffe2b0,MED-656d9c57f104add351c721d3,MARKET,242,UNMATCHED_VALID,
SRCM-57672382bca7f0a1f149208a,MED-7ad002d12682875ca0e191f3,MARKET,243,UNMATCHED_VALID,
