source_record_id,source_name,source_row_number,price_original,reason_code
SRCM-9959725cc384263cca3add7d,MARKET,20167,,MISSING_OR_UNRESOLVED_PRICE
SRCM-f2d3f8917ef610fa02f95030,MARKET,20415,,MISSING_OR_UNRESOLVED_PRICE
SRCM-dcf0e99d12674748e5bbb35a,MARKET,20416,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-c9fa76b8b7c62b3ace049158,MARKET,20540,,MISSING_OR_UNRESOLVED_PRICE
SRCM-04bc160f0ef88e84fa441b83,MARKET,20541,,MISSING_OR_UNRESOLVED_PRICE
SRCR-0d303d4f5f4461f143341678,REGISTERED,2,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-a72ee0ffbe95fe663f9b4c8f,REGISTERED,3,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-f34cbd1957fdebb287a7988f,REGISTERED,4,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-d13ef04b0bac117253ee31b9,REGISTERED,5,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-b5d5e91e8fbe08dd6e8f498d,REGISTERED,6,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-dc8cc1973f784795522e61ee,REGISTERED,9,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-37aca66020a36ca23138b4c6,REGISTERED,10,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-49641a9296a63de383581075,REGISTERED,11,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-8d50dd21adf4a4c410610187,REGISTERED,12,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-043588a20f9fa886e43698a9,REGISTERED,13,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-a9ff213787b0aafd3e364f10,REGISTERED,14,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-884a30b11f928e08f3993716,REGISTERED,15,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-55c4f89208ddb4e3a1eb97b9,REGISTERED,16,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-7760b359c193fba4a6dce90f,REGISTERED,17,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-bd4cafc4cca35ba1cbf879cd,REGISTERED,18,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-44771ca2fe477b8f1ea60cbd,REGISTERED,19,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-d6880c08e58a1ba48cd8894b,REGISTERED,20,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-046eb44e5eee79419e40a3da,REGISTERED,21,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-261ccbc36e029c8e8252dfa1,REGISTERED,22,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-bfc32b8dda88f762523d45ce,REGISTERED,23,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-bc1bbdf6fd58916f6ca08cb4,REGISTERED,24,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-c30500c86c5ee45d4a16cc15,REGISTERED,25,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-5eb6135963c1e1f0d988331d,REGISTERED,26,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
