manufacturer_id,display_name,normalized_name,source_verified
MFR-61df421658dcdaf656266ed8,"Laboratoires Panpharma, France",laboratoires panpharma france,0
MFR-6437df2f6734a95b9d886a3d,Bristol Pharmaceuticals Ltd.,bristol pharmaceuticals limited,0
MFR-64470d3fc4eb65d6af916514,Popular Pharmaceuticals PLC,popular pharmaceuticals plc,0
MFR-649493842f827a1c70398b5b,"C.B. Fleet Company, USA",c b fleet company usa,0
MFR-64caca595d01c316e989bbc1,Salton Pharmaceuticals Ltd.,salton pharmaceuticals limited,0
MFR-64e0a20c7563ae56b152ed97,Popular Pharmaceuticals Ltd.,popular pharmaceuticals limited,0
MFR-65c82d34e7e6758e8e5371c9,Novelta Bestway Pharma Ltd.,novelta bestway pharma limited,0
MFR-678ba169e82316b23d4683f9,Renata Limited,renata limited,0
MFR-69233b9f28544c6319b8007c,Medimet Pharmaceuticals Ltd.,medimet pharmaceuticals limited,0
MFR-695a2007ffbed9de5e7f2b9e,Genvio Pharma Ltd.,genvio pharma limited,0
MFR-69d9f7657d4a7ec043cfec0a,Pfizer,pfizer,0
MFR-69db4a2eb1ef8ff1a9f3bfe6,Nuvista Pharma Ltd,nuvista pharma limited,0
MFR-6a750555a4a1c14c2f1b53ab,Leon Pharmaceuticals Ltd.,leon pharmaceuticals limited,0
MFR-6ac749218fa0d8a5f13fe5e2,Al-Madina Pharmaceuticals Ltd.,al madina pharmaceuticals limited,0
MFR-6c95be19e9e30360b095cfd0,Global Capsules Ltd.,global capsules limited,0
MFR-6cd07274f3e213178ddb2097,Concord Pharmaceuticals Ltd.,concord pharmaceuticals limited,0
MFR-6e6bd7b5ab27fae1ff6c2f5c,MSD,msd,0
MFR-6f8490aab64e9f0cea7083bf,"JEO MED, Turkey",jeo med turkey,0
MFR-706a6801f83fdddcb048c645,Cosmic Pharma Ltd.,cosmic pharma limited,0
MFR-72193573a435f125063786d6,Euro Pharma Ltd.,euro pharma limited,0
MFR-723bfd0875ea733dea29f053,AqVida GmbH,aqvida gmbh,0
MFR-72487670bcff069b778f89d6,Naafco Pharma Ltd.,naafco pharma limited,0
MFR-734dd1d0a19562fd9dc362b7,Jenphar Bangladesh Ltd.,jenphar bangladesh limited,0
MFR-74a2eaf7a984d097716febc9,Lundbeck Pharmaceuticals Ltd.,lundbeck pharmaceuticals limited,0
MFR-757607f73fcca8813597a984,Square Formulations Ltd.,square formulations limited,0
MFR-75f86e5e3df1a27c741eb8e2,HLL Lifecare Limited,hll lifecare limited,0
MFR-76edf77921f33e11714755b3,Beacon Pharmaceuticals Ltd.,beacon pharmaceuticals limited,0
MFR-772e206bf4220416a2e6250e,S.A. Alcon-Couvreur N.V.,s a alcon couvreur n v,0
MFR-7851774ed9a9156f611986e2,Drug International Ltd.,drug international limited,0
MFR-7939936603a398b94bff00b4,Cosmo Pharma Ltd.,cosmo pharma limited,0
MFR-7bad4e7316d77ceff5a53dad,"Square Pharmaceuticals PLC, (Chemical Division)",square pharmaceuticals plc chemical division,0
MFR-7d385c9cc4d926006fa98bcd,Aztec Pharmaceuticals Ltd.,aztec pharmaceuticals limited,0
MFR-7daf8cbb6d3dbbf4273a8714,Marker Pharma Ltd.,marker pharma limited,0
MFR-7f6857ec51f2255b0ad98f5d,Gentry Pharmaceuticals Ltd.,gentry pharmaceuticals limited,0
MFR-7fb5805489a0ac34b4e1bcd9,Labaid Pharma Ltd.,labaid pharma limited,0
MFR-7fb8ff660fff1f3a1f3078dc,Belsen Pharmaceuticals Ltd.,belsen pharmaceuticals limited,0
MFR-80af06a80b1ecf5c917b2ea2,Newtec Pharmaceuticals Ltd.,newtec pharmaceuticals limited,0
MFR-81990e79228290feafda659e,BOTS Pvt. Limited,bots private limited,0
