source_record_id,source_name,source_row_number,generic_original,strength_original,parse_status,parse_reason
SRCR-d8dfb2468571cddba529baf9,REGISTERED,33826,Dextrose + Sodium Chloride,5 gm + 450 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-ee7428f3da9c30f42c5601f3,REGISTERED,33831,Dextrose + Sodium Chloride,5 gm + 900 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-ca5e0d1aa0f28c09c4f157c6,REGISTERED,33832,Potassium Chloride + Sodium Acetate + Sodium Chloride,100 mg + 650 mg + 500 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-0e2933c07604897731881098,REGISTERED,33834,Calcium Chloride + Potassium Chloride + Sodium Chloride + Sodium Lactate,27 mg + 40 mg + 600 mg + 320 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-f12154af8906995f896dd92b,REGISTERED,33839,Cefuroxime + Clavulanic Acid,125 mg + 31.25 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-20c1e72b10263dabfe8ec74b,REGISTERED,33843,Loteprednol Etabonate + Tobramycin,.5 gm + .3 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-84111aecd5f4fc42655cf48e,REGISTERED,33845,Cyanocobalamin + Toldimfos Sodium,5 mg + 20 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-b15d3b685ff8f82a73c331f8,REGISTERED,33846,Cyanocobalamin + Toldimfos Sodium,1.5 gm + 6 gm/30 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-31e673ba34354a03cb4bd1dc,REGISTERED,33848,Econazole Nitrate + Triamcinolone Acetonide,1 gm + 100 mg/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-52e3fa22db8cc47079f88eeb,REGISTERED,33854,Ascorbic Acid + Betaine + Calcium Chloride Dihydrate + Magnesium Chloride Hexahydrate + Potassium Chloride + Sodium Chloride,9 gm + 25 gm + 4 gm + 400 mg + 200 mg + 2 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-dfcc70ab8fb5a30a3b90c5fe,REGISTERED,33859,Amoxicillin + Clavulanic Acid,125 mg + 31.25 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-f462247dc54c66b0b7b737af,REGISTERED,33867,Ipratropium Bromide + Salbutamol,500 mcg + 2.5 mg/2.5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-559fc886b93bd5802ea809db,REGISTERED,33868,Liquid Paraffin + Magnesium Hydroxide,25 ml + 6 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-0415acafd467e09833ed7677,REGISTERED,33869,Aluminium Hydroxide + Aluminium Hydroxide Gel + Magnesium Hydroxide + Simethicone,3.216 gm + 17.5 gm + 8 gm + 600 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-0478564d48fef1dd57fa62c7,REGISTERED,33873,Calcium Carbonate + Cyanocobalamin + Diabasic Calcium Phosphate + Magnesium + Vitamin D3,1.356 gm + 100 mg + 4.6 gm + 100 mg + 800 IU/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-2056f24eb868efa6586f9665,REGISTERED,33880,Carboxymethylcellulose Sodium + Glycerine,5 mg + 9 mg/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-3fd9d2b2c1115564b8781979,REGISTERED,33881,Glycerol + Hypromellose + Polyethylene Glycol 400,200 mg + 360 mg + 1 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-9277bfe1885d2c2c0b9497c1,REGISTERED,33910,Lincomycin Base + Spectinomycin,22.2 gm + 44.4 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-906395086f46a0bd6e53fe77,REGISTERED,33915,Betamethasone + Clotrimazole + Gentamicin,50 mg + 1 gm + 100 mg/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-f69f09d599c1f14d0c7809b6,REGISTERED,33921,Melengestrol Acetate + Zilpaterol Hydrochloride,110 mg + 4.8 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-0669d800efd20ff194d48985,REGISTERED,33923,Gatifloxacin + Loteprednol Etabonate,300 mg + 500 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-7babd315d42df66e8d31ee80,REGISTERED,33941,Amoxicillin + Clavulanic Acid,140 mg + 35 mg/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-17cf0a2c627cdbfb609673b3,REGISTERED,33947,Dextromethorphan Hydrobromide + Phenylephrine Hydrochloride + Triprolidine Hydrochloride,400 mg + 200 mg + 50 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-a67f5ac01c06589086fde39a,REGISTERED,33948,Dexamethasone + Moxifloxacin,100 mg + 500 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-f28932652cd9274c09c4d032,REGISTERED,33951,Dextromethorphan Hydrobromide + Guaiphenesin + Menthol,300 mg + 4 gm + 300 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-e65c3ebebef75aa5f1cc3092,REGISTERED,33970,Betamethasone + Calcipotriol,.05 gm + .005 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-4ac826d4a5be9f64f780585c,REGISTERED,33984,Chlorhexidine Gluconate + Isopropyl Alcohol,500 mg + 70 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-49d04dc22c08c2bf3dd353a5,REGISTERED,33985,Glycerol + Hydrogen Peroxide Solution + Isopropyl Alcohol,1.45 ml + 4.17 ml + 75 ml/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-f1b0e7e218e039079d249b57,REGISTERED,33999,Amoxicillin + Clavulanate Acid,100 mg + 25 mg/gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-e883b259b3536d3643f6127e,REGISTERED,34006,Diphenhydramine Hydrochloride + Guaiphenesin + Levomenthol,280 mg + 2000 mg + 22 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-c1f842b273c87e28345ce3ed,REGISTERED,34007,Ascorbic Acid + Cod Liver Oil + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin A + Vitamin B1 + Vitamin D3 + Vitamin E,17.5 mg + 100 mg + 9 mg + .35 mg + .85 mg + 2000 IU + .7 mg + 200 IU + 1.5 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-f138ffc48749aca8e7f7ca7d,REGISTERED,34009,Ipratropium Bromide + Salbutamol,500 mcg + 2.5 mg/3 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-9794e1f4c56210277b3b65d7,REGISTERED,34024,Clioquinol + Fluocinolone Acetonide,3 gm + .025 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-6fc637739c0f60411f957d53,REGISTERED,34027,Chlorhexidine Hydrochloride + Nystatin,1 gm + 2 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-106ada77198a9bb349b35a55,REGISTERED,34028,Halobetasol Propionate + Tazarotene,.01 gm + .045 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-4083e2be235112ff1e37851a,REGISTERED,34052,Citric Acid + Lactic Acid + Potassium Bitartrate,1 gm + 1.8 gm + 400 mg/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-901a9f2c5050219c9c3c72ed,REGISTERED,34054,Formoterol Fumarate Dihydrate + Mometasone Furoate,5 mcg + 50 mcg/Puff,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-a548b24c2ffa75394629bb9c,REGISTERED,34055,Formoterol Fumarate Dihydrate + Mometasone Furoate,5 mcg + 100 mcg/Puff,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-6374f3186bf97981302d7a4b,REGISTERED,34056,Formoterol Fumarate Dihydrate + Mometasone Furoate,5 mcg + 200 mcg/Puff,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-eaabfefec0e38165e8bf6d7c,REGISTERED,34058,Boric Acid + Calcium Gluconate + Magnesium Hypophosphite Hexahydrate,14.375 gm + 70 gm + 22.5 gm/250 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-1e4f5b8dcbb10ada9a3361c3,REGISTERED,34059,Boric Acid + Calcium Gluconate + Magnesium Hypophosphite Hexahydrate,28.75 gm + 140 gm + 45 gm/500 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
