medicine_id,market_source_records,registered_source_records,match_method,tier
MED-03e381a3a5459c9fd1df65b4,SRCM-0d3c8a5e7a5094d5e4cdf3ef,SRCR-adbd0724ed321f603f3fdad1,EXACT_STRUCTURED_IDENTITY,A
MED-03f16efe1366dd815226e0d6,SRCM-6f3b90f9277d993d09a3de3c,SRCR-f5cfed4bf9daa34a130ba98e,EXACT_STRUCTURED_IDENTITY,A
MED-03f30623934c742fc8d5b34d,SRCM-77b5f61f8d6c5f5c9e0b1e1d,SRCR-383369f350d35f681bee8e5e,EXACT_STRUCTURED_IDENTITY,A
MED-04116a5acdb263598d96cc2c,SRCM-ccc15ad40838159ec0879d9d,SRCR-7268b4ab5b915460dc8e2d5c,EXACT_STRUCTURED_IDENTITY,A
MED-042562ff7788366e05fdad9c,SRCM-ef48904bbb42fe0c65c3d3ce,SRCR-fc63eff915e2432c74ea46fa,EXACT_STRUCTURED_IDENTITY,A
MED-0432051cb3849dd7a00ce00c,SRCM-06ca05875af00cfa221ce6ef,SRCR-680267c2d9136473e20b688b,EXACT_STRUCTURED_IDENTITY,A
MED-043db706a236961c6729b2f6,SRCM-a00a4b232e676dd9bea50fa5,SRCR-5159512059715e4e7d83d08c,EXACT_STRUCTURED_IDENTITY,A
MED-043e9bec2c92e612874a3adc,SRCM-d28d17cb98d46e7fcf5c68af,SRCR-7a5ebd6e5b5f1ee494157bb9,EXACT_STRUCTURED_IDENTITY,A
MED-047bf7bb33bb484fb55bb13b,SRCM-c2d6e84c3c36631593138e9c,SRCR-1dd62d4ad97d040791fd5d2a,EXACT_STRUCTURED_IDENTITY,A
MED-048024d90d1c27e3b643cf19,SRCM-e067552a7321f705d1601f32,SRCR-04a685b9d3bd00b945afd841,EXACT_STRUCTURED_IDENTITY,A
MED-0480cafe060bd7e2c912ce50,SRCM-9f32c9ad8b63751c3330ad03,SRCR-57dc91cf1378b61097f69891,EXACT_STRUCTURED_IDENTITY,A
MED-04a3cadd1739e62982f2a1ac,SRCM-3a079cd765aaf5f4de87e392,SRCR-39970c57b279a5f7764b8428,EXACT_STRUCTURED_IDENTITY,A
MED-04a71737acb6c89cdd829ad9,SRCM-86efeaf275de9b47bdbdc4ed,SRCR-7fa968a6637ebb583b3bf0db,EXACT_STRUCTURED_IDENTITY,A
MED-04b16cea272112fb88e22b61,SRCM-64154244fcdbdd44e50cb764,SRCR-6e008cb3934302aaea9d9a89,EXACT_STRUCTURED_IDENTITY,A
MED-04b2ab53e49ebe55a6ed4fa6,SRCM-f142f973ca8f39acd4579410,SRCR-d1798d151514ccd23c702735,EXACT_STRUCTURED_IDENTITY,A
MED-04d20579014884db1cdf8960,SRCM-d4c4bc6760a53408827d6db4,SRCR-91d365eaa1b8de782e1ddb89,EXACT_STRUCTURED_IDENTITY,A
MED-04d6e574f7eac89859e8fdbc,SRCM-a40bbac7c10b038305a92044,SRCR-a46825465bdfbeca5cb6881c,EXACT_STRUCTURED_IDENTITY,A
MED-04d9f5305ea72ced41901681,SRCM-222c7b65d4122d15a480c22f,SRCR-d7f0e64257515a372e8c6aed,EXACT_STRUCTURED_IDENTITY,A
MED-0507f10b495323c6d338e4da,SRCM-0fb2bc0245fec983f6ea427c,SRCR-f1aed917fd3b49beb8d74108,EXACT_STRUCTURED_IDENTITY,A
MED-052aa54d388253a3b69a724c,SRCM-e1e6dafdff15e501245cde65,SRCR-1588d65a4fc8c402b0126b49,EXACT_STRUCTURED_IDENTITY,A
MED-05399fa789d8d29c5fc14c27,SRCM-2dda665cc8d82d182c45d4dc,SRCR-02179b6342fd2318f437909f,EXACT_STRUCTURED_IDENTITY,A
MED-0556dd62fd54c6360983fe6d,SRCM-0a89cdb362c907dddc1023aa,SRCR-aaa0a057b18c1fb4b3dcee6b,EXACT_STRUCTURED_IDENTITY,A
MED-055c9d7f4a04546ad69a71fc,SRCM-eb9056b1067d1613863d190f,SRCR-4db50b002e4fdc7a2b8c1886,EXACT_STRUCTURED_IDENTITY,A
MED-05617238e1bdf51bc69f036a,SRCM-4c0f8a1424e0c53103beb334,SRCR-7401173511aee17d50154e7d,EXACT_STRUCTURED_IDENTITY,A
MED-0562078c5450418612f10b8c,SRCM-50829e91178a1ca27b2cfc6b,SRCR-0292390161b28226215e2d7e,EXACT_STRUCTURED_IDENTITY,A
MED-05676e570613512277b899ea,SRCM-4dc909553f4d5bd10dfb2b11,SRCR-66af62546d4fccdebc1a0b8a,EXACT_STRUCTURED_IDENTITY,A
MED-057824620e349afed423088f,SRCM-a742976fa4de01c03bacee82,SRCR-6e6124646e35d7eab84d7128,EXACT_STRUCTURED_IDENTITY,A
MED-057864f57138fa505a0fb557,SRCM-6eb816afdc6b13bfe760260d,SRCR-6219f6c6ef1cd42575be3d85,EXACT_STRUCTURED_IDENTITY,A
MED-058be45f68f1b4afcda40b30,SRCM-bdcf9e6f682cc209415cf4af,SRCR-c541d2ca0a61b454fdc83eb6,EXACT_STRUCTURED_IDENTITY,A
MED-05926a5186c9fa3d89148568,SRCM-1d795ea68465df03c9c7a18d,SRCR-f7424586d864903b27544c59,EXACT_STRUCTURED_IDENTITY,A
MED-059e829fc931a4b474cdbd62,SRCM-4b8c3ac4791645b2f9892de6,SRCR-96f4bb6bfb3309b52ebab8fa,EXACT_STRUCTURED_IDENTITY,A
MED-05a4a63b1b3c2e7ccc9db9b8,SRCM-bc22a4c3e7b54f39386f5b6a,SRCR-8bd2f66a5607fc27fdbc68fc,EXACT_STRUCTURED_IDENTITY,A
MED-05c282d73f235464e13ae974,SRCM-0ffa84fd8a7e1b492dd844bf,SRCR-70994ffc5cd31a2d16bbd4df,EXACT_STRUCTURED_IDENTITY,A
MED-05c65022e90ffac44f4a1eea,SRCM-3b71fe3ecb32d8ae9fe2cf5a,SRCR-e0cdc729af6b2c5b8c4ddb91,EXACT_STRUCTURED_IDENTITY,A
MED-05d6dae800985e6a338bcce9,SRCM-ce04a4bf006579bb8ad31b89,SRCR-7a79a95f6c50242b8317e0f9,EXACT_STRUCTURED_IDENTITY,A
MED-05ddca4671a42e346fce7f52,SRCM-0642508f6db6336e765f875c,SRCR-3b4031feba74d534810f6686,EXACT_STRUCTURED_IDENTITY,A
MED-05e86c0e488ec9015258434e,SRCM-08463aca148a5a9ff1a92e41,SRCR-2fe230a619822dad97a8045f,EXACT_STRUCTURED_IDENTITY,A
MED-05fa35f42b72e3fa6ff98861,SRCM-d708575a93734adcc26bc61f,SRCR-4e57dc8ae10a7bb060741ee3,EXACT_STRUCTURED_IDENTITY,A
MED-05ff11e2ab59dea95a651435,SRCM-8eb6c067b65006a0d71d088d,SRCR-302d9c3ca89931cd67f1080b,EXACT_STRUCTURED_IDENTITY,A
MED-0604834312f18a6da46a0ec8,SRCM-7dd05dc466e7fa40ab21a677,SRCR-851bde5b6a68c58d6b891d6a,EXACT_STRUCTURED_IDENTITY,A
MED-06166fe13ecf664a4e664554,SRCM-ae550036409682b4f011d051,SRCR-ae1c5c182fc03d8ed677556c,EXACT_STRUCTURED_IDENTITY,A
MED-061a698b074d2797c326e6a4,SRCM-f6e70ba5c30989325dba65b0,SRCR-d735961c2b36b0ea57df0c15,EXACT_STRUCTURED_IDENTITY,A
MED-062238f76f58aad8c4793831,SRCM-faa42f2bda40fd4becc51afc,SRCR-1bb445e548add52a5774af4b,EXACT_STRUCTURED_IDENTITY,A
MED-0628661d4e7228ad93cd09aa,SRCM-baf820965386cab6a6a909b8,SRCR-30711da0315c3a9cc92b683f,EXACT_STRUCTURED_IDENTITY,A
MED-0628a5725448c6cf6aa66c87,SRCM-991783add7bb0df4132648a8,SRCR-204d05d7387f4707c87b80cc,EXACT_STRUCTURED_IDENTITY,A
MED-0631465c5fda5b2618e7a050,SRCM-0b0da76e52daf67cd2339a8a,SRCR-c526b66fe7b8c9a6fa73ca14,EXACT_STRUCTURED_IDENTITY,A
MED-06334b576f2d4c4ae8a2d6c9,SRCM-cf78ee3ccc2ae6c3a4701c2f,SRCR-837aad2d3c64c9a62c99943c,EXACT_STRUCTURED_IDENTITY,A
MED-063a22268509700ef0b61c1a,SRCM-94949a6ba1a7e3b860c1c584,SRCR-eb6075c8bd4e0dee151b2b6b,EXACT_STRUCTURED_IDENTITY,A
MED-065666894d07c442d8f9b7f8,SRCM-72364b3e0fb65c18913bf7db,SRCR-c7843d746bb208025466c5b2,EXACT_STRUCTURED_IDENTITY,A
MED-0659ecd53ea518aa6a43ca24,SRCM-a24407bdd57fe3164b79a537,SRCR-c14dcbe176547450c0f66cfe,EXACT_STRUCTURED_IDENTITY,A
MED-0681644d31122a2e523fbe9e,SRCM-084ad9eceac475cf607ad119,SRCR-0b78dc8aa3481c84bc70e13f;SRCR-2837c1212440e287a8b618e1;SRCR-887e4223727f7dcda25a08c7,EXACT_STRUCTURED_IDENTITY,A
MED-0687aa305aa6f0262197e812,SRCM-12f03b63c2402bba5ce28333,SRCR-41016ad415b90451ac208838,EXACT_STRUCTURED_IDENTITY,A
MED-06b55b093f0e89ae9e397435,SRCM-f261591b0b34d505ee759fe5,SRCR-1d387a7a17d0ca94cf4d6421,EXACT_STRUCTURED_IDENTITY,A
MED-06cda4267f68c02f16b7567c,SRCM-a971a1f0229d05ab7340efd9,SRCR-c7ba6bdc23f1cacafcdeee5b,EXACT_STRUCTURED_IDENTITY,A
MED-06cea6fc5bcfe0b087766705,SRCM-25d3f41a2793611d5a8aa28d,SRCR-2864639082613e49dae987c6,EXACT_STRUCTURED_IDENTITY,A
MED-06f9ecc6ec93e87e1795b52c,SRCM-56d80e8dc2a270e6b7486f8f,SRCR-d1726d208e821ab26f405662,EXACT_STRUCTURED_IDENTITY,A
MED-06faddd50c57d076cd86c38f,SRCM-aa70f4a1caab4b85da44713b,SRCR-6f715de6061f92fd0568b7a6,EXACT_STRUCTURED_IDENTITY,A
MED-070814752b176acf4ae3b704,SRCM-810452cc42ce6f2a0a3440e4,SRCR-690fab1d87577bb0c40a5475,EXACT_STRUCTURED_IDENTITY,A
MED-0711777d30d32af5fee19a72,SRCM-924e72bf900d71dcfd5a7fad,SRCR-19f771f83fdcfa4ae36ecd4c,EXACT_STRUCTURED_IDENTITY,A
MED-0711f79361d74a83d3242f9d,SRCM-2756af8a5d7463a5fb35a4cb,SRCR-9314121a989faecae4199b72,EXACT_STRUCTURED_IDENTITY,A
MED-072cd1405f191f464258a490,SRCM-9a2ff66473394b07bd77b7b0,SRCR-b49a950ddb5eabb39794d7f1,EXACT_STRUCTURED_IDENTITY,A
MED-072d294c3b1ae6e52e4032f5,SRCM-50980f429703588ded706d85,SRCR-367b3391b3546d572e8f1e71,EXACT_STRUCTURED_IDENTITY,A
MED-073caeb1214cc5f3b1991175,SRCM-9c8ba2e74dd74716fce61ca9,SRCR-1a18161dc5bfb5e26d644b75,EXACT_STRUCTURED_IDENTITY,A
MED-073f7378fea10143df3b67e9,SRCM-40c6f5428d232631400f9fe2,SRCR-14632be73e0efadd54284a15,EXACT_STRUCTURED_IDENTITY,A
MED-074b52c3c5a5fb84e0a26c9e,SRCM-2f873d89d568e1f8b4b334ef,SRCR-927854e12d1efd980f8e7962,EXACT_STRUCTURED_IDENTITY,A
MED-07665efc608493017dd34bd2,SRCM-5867a675fe24b24f9ea274d7,SRCR-c303b688da6600821d4455a2,EXACT_STRUCTURED_IDENTITY,A
MED-07ad78c365bc56356f9d9326,SRCM-7d218da2be6cee7bfcb8e995,SRCR-21f922059e0a0281368202d1,EXACT_STRUCTURED_IDENTITY,A
MED-07bc5379c7bfe33ff1074236,SRCM-d863dcce6f3dfc2d129b74f4,SRCR-dbd1bfa814ab244401f949e5,EXACT_STRUCTURED_IDENTITY,A
MED-07ca6d8a9f1a54ce801d2274,SRCM-f92934e2a38c7ee88eb4608a,SRCR-3114d166d87c3c1c51c0f7cd,EXACT_STRUCTURED_IDENTITY,A
MED-07d277853a04778663685bc0,SRCM-fc8a68f0e37a5a402906be2a,SRCR-964328f5829a2e1615f6f1fe,EXACT_STRUCTURED_IDENTITY,A
MED-07f67f41994d870fccc2ae39,SRCM-9170201c7c1912db26376013,SRCR-ad0113b3a3b2029ee0ab370a,EXACT_STRUCTURED_IDENTITY,A
MED-08427a7d4dccd54469d011bb,SRCM-e693a3a4ac84fa7fd9faa42e,SRCR-0562d3c936b69945ffac7d5a,EXACT_STRUCTURED_IDENTITY,A
MED-08600cf6fb77167f4924cfe0,SRCM-d11ebb0a8c4d14d37b5e3e4e,SRCR-8eb33848efd2fcd5e4669ff8,EXACT_STRUCTURED_IDENTITY,A
MED-089a5053c349d14825404a66,SRCM-5cd4d8e650cbaa3a23c5a988,SRCR-07605ee3cf01c47626dc2387,EXACT_STRUCTURED_IDENTITY,A
MED-08ab5758d3e0743ce5c13536,SRCM-9d52ef8fc5e316bcabc82d9b,SRCR-c557c6aa4daf6e92aee032ce,EXACT_STRUCTURED_IDENTITY,A
MED-08e40aa030e422c5b6a9d738,SRCM-f3957633d8780a8fff34eb10,SRCR-d7541240fdd1e6e99c71426a,EXACT_STRUCTURED_IDENTITY,A
MED-08e9b31b04860f14d4424861,SRCM-4f6e606723022d701661d705,SRCR-47c9a47f40c9a9b988ff7c23,EXACT_STRUCTURED_IDENTITY,A
MED-08fa53ef0c1734c8a3420118,SRCM-5207131c126823ad5f01152f,SRCR-e98203240c16d58d2dde6c97,EXACT_STRUCTURED_IDENTITY,A
MED-0905fcedd5fba6023f6c2ff5,SRCM-853d8d11d65a88457550b4f2,SRCR-0755ce90be2ec2751b34d8cd,EXACT_STRUCTURED_IDENTITY,A
MED-09352832ba09bf1e466699c1,SRCM-1d6b8366a071229ad7c00ba8,SRCR-2db6c0f32f0c89d487a4a4bd,EXACT_STRUCTURED_IDENTITY,A
MED-095c597616dda9e8151bc7e9,SRCM-48961aa5f969e531e606dfb6,SRCR-5694036806668c6b608b59dd,EXACT_STRUCTURED_IDENTITY,A
MED-095e9e0c4c87fd5e6b240f61,SRCM-e4332479ff65639bcb0ac7ab,SRCR-e42f8a90a920122ae1175014,EXACT_STRUCTURED_IDENTITY,A
MED-09641a73484a6f9f901c85f5,SRCM-cb4c0aa96288bea32fb1601e,SRCR-2ab91f31ea4442b7a0a5c739,EXACT_STRUCTURED_IDENTITY,A
MED-096d19ab688ca45eb5bbbe37,SRCM-b1147c1fe7fe7d0caaba582d,SRCR-bdfec1baa566eca05705d69d,EXACT_STRUCTURED_IDENTITY,A
MED-097111b9d0f88d38d36daecb,SRCM-d3ea3a1fbd0d4a4f1ff7e1be,SRCR-44b98f0fa482e1b686cb671f,EXACT_STRUCTURED_IDENTITY,A
MED-09752e048844a7cd4f7cf969,SRCM-5420f17b8bd3ff9ddf41cc5c,SRCR-c72ef9ea8085b7fb1a11fa09,EXACT_STRUCTURED_IDENTITY,A
MED-099b8af413aefff10b09e5f2,SRCM-28e1a52cef352360a89d9f2a,SRCR-51bb9bcaa8b8c0b0a2a1396e,EXACT_STRUCTURED_IDENTITY,A
MED-09b7d3e1ae4b1a829b52444f,SRCM-05855c5dfc6b666321226b34,SRCR-80e22e2319c38dad14dad1f4,EXACT_STRUCTURED_IDENTITY,A
MED-09bd88d3351a1ebc7aa0975b,SRCM-2988aaed10aa4d7dcd40e4d9,SRCR-622aad4bb26abe5d9320f1a8,EXACT_STRUCTURED_IDENTITY,A
MED-09c98a370f88353639274b18,SRCM-592ffe2a6e9bc5363e5273d8,SRCR-6ed672a3a3196bb748dbc63e,EXACT_STRUCTURED_IDENTITY,A
MED-09edb337a5e50f74f8009c63,SRCM-a44741874971478f2adc63fb,SRCR-007f30fd5fb929713e03cf2e,EXACT_STRUCTURED_IDENTITY,A
MED-09f228a15286d7f606ad23cd,SRCM-ccd6bb794733a5c209e9bb41,SRCR-b6e8499deec1ce8ff45ef19c,EXACT_STRUCTURED_IDENTITY,A
MED-0a020a75d20566db1b0b7eab,SRCM-29ddf4f2ceb2c97294279bd5,SRCR-9e9ef9106ba1ad5bbe6667ab,EXACT_STRUCTURED_IDENTITY,A
MED-0a157dc8b468933b6a804254,SRCM-4616da9abf0a084eca9d6daa,SRCR-e99c8b164c3ea2ebce742dac,EXACT_STRUCTURED_IDENTITY,A
MED-0a37a2237cde4ad042fab90f,SRCM-d40299f93fce269c21048b5e,SRCR-f1bbd620c8668ed7c3296838,EXACT_STRUCTURED_IDENTITY,A
MED-0a3e2cea051ef34837682cd0,SRCM-8cd71f9601e0f321d542192f,SRCR-9781dd4b0422ff08db2d84be,EXACT_STRUCTURED_IDENTITY,A
MED-0a450fdbbfe5878d1a1d7960,SRCM-2c34b8e9e9137fda28378aee,SRCR-f287cf7ab49717fe31ddae1f,EXACT_STRUCTURED_IDENTITY,A
MED-0a51221b960f171481738a96,SRCM-662d32f387dcbc21b6f860e2,SRCR-97ca4f7dc9ff84ed65698642,EXACT_STRUCTURED_IDENTITY,A
MED-0a5271b6585ad7497ff72063,SRCM-b1c5f90319d17db0766821be,SRCR-2b8a989c90f1e60433887e25,EXACT_STRUCTURED_IDENTITY,A
MED-0a6e02eb73349edeb56dce9f,SRCM-c75b85e9cb3b5edbd01b4c24,SRCR-20ccbda91be7a63d610af67d,EXACT_STRUCTURED_IDENTITY,A
MED-0a79998d1b5ae52c45811ec7,SRCM-2682b7d390ac494a53874e3e,SRCR-bb58c1e77e17eca6bec1e3a4,EXACT_STRUCTURED_IDENTITY,A
MED-0a81c89d0c1f4db0a4846591,SRCM-47c460c51de361f925df0b1d,SRCR-5a9a6a07fdae9fae99e8baf0,EXACT_STRUCTURED_IDENTITY,A
MED-0acdd5dfab7fe586c6e6847c,SRCM-562dfbd78812f07e9c29441d,SRCR-f8e34d9243c007f143d1b571,EXACT_STRUCTURED_IDENTITY,A
MED-0b4f47407915a87cee2af772,SRCM-9c57719b184502a211851e6e,SRCR-3b887bd4206971036fd8bf46,EXACT_STRUCTURED_IDENTITY,A
